node_id,x0,x1,x2,x3,x4,parent_id
154,-20.03070683,-44.50733941,-0.8117213081,1.909259109,27.73621978,23
155,-24.29202548,0.6747271448,-4.803469715,-4.4635489,14.61818374,109
156,-21.71142021,-16.45601432,-5.14983464,0.70756743,30.4762504,82
157,-22.93507879,10.90758455,-2.537354858,-4.415022037,25.6285786,133
158,-9.964440512,-37.74223048,3.428605976,9.473312988,19.01641176,86
159,-24.49986691,10.62951314,-5.038130987,1.870122048,22.20520289,133
160,-42.21683535,-36.39688084,-5.45887854,-9.121313106,25.50889521,11
161,-4.913623703,-34.98439008,2.665171054,7.629388937,19.69211822,86
162,-29.81124778,-45.90991911,7.234072977,2.736780739,17.1728871,98
163,-34.90362921,-43.88566655,-1.184702616,7.414434777,19.13551229,39
164,0.5785026357,-49.41211916,-2.424099742,-1.087048443,39.04471636,148
165,-17.45221897,-36.57901883,6.381053571,-9.737412955,36.37704708,154
166,-8.039006061,5.706314105,-2.431848998,-5.320613954,18.79431017,155
167,-22.99130809,-40.10766171,-6.883422337,5.67850783,22.50753741,6
168,-11.97602593,12.19760872,-2.87580619,-1.688307238,31.77609017,118
169,-49.67377358,-21.07490612,-0.3738685396,8.507965889,20.18480611,39
170,-47.63967506,-20.18747212,5.659354162,4.081099196,13.30108071,2
171,-22.4470938,-39.36687302,7.415054926,-0.4683278247,39.23062775,8
172,-29.60927481,-6.107326902,-3.363073952,1.537116606,27.97604506,46
173,-17.89750497,15.65742635,6.963912692,-5.58671772,36.25357587,258
174,-27.28093461,-37.49238005,-0.0537652639,-3.705321783,32.59368689,44
175,-44.11323213,-40.38235211,9.989005002,8.599309941,24.57218416,0
176,-0.747019309,-45.66163183,-3.820353345,-4.336861293,31.32476048,148
177,-37.61770725,-16.69272797,-4.122655912,-0.4588880199,32.75067039,2
178,-45.52799142,-6.468609141,8.901527801,-2.478750757,31.63007462,197
179,-43.97043842,8.095988425,2.529932474,10.71039628,39.93339436,36
180,-12.4917052,-6.315018635,-1.399557617,-9.029307246,25.74759397,282
181,-18.07348648,-40.32274275,-8.482671987,3.786805197,25.32049484,23
182,-11.55468826,-44.1901313,0.5120736529,3.879073111,36.6827905,184
183,-40.63156182,-14.69951221,10.30612812,1.613571962,34.21212245,140
184,-27.28270245,-44.09693926,-5.604408663,-7.021979667,23.29124638,12
185,-42.98024419,-47.73901659,7.347014953,-3.372251284,24.98857421,12
186,-13.44132324,-23.87274344,-0.6106604336,-2.776185287,33.43068462,22
187,-36.99707384,-32.24175357,1.201640049,2.25130867,15.33760551,6
188,-10.89249731,-0.47551638,5.718259202,-7.342980771,35.54475043,228
189,-15.6037315,-17.17202499,-8.345192796,-2.896541277,17.04916877,259
190,-32.91608849,-15.51620386,-6.854271587,-2.983219623,39.02320843,2
191,-47.96177233,26.81227102,2.586661879,4.060949799,38.88418375,221
192,-48.17255986,-16.2028516,-3.738522772,3.319938279,38.39963098,77
193,-15.6193612,-33.4810771,1.597209613,-10.83253125,35.39197605,154
194,-4.047699624,-44.60344296,7.538987637,-4.507452077,35.00556836,148
195,-38.35799806,-43.43066864,7.602311114,8.499750304,31.2119325,4
196,-12.0536698,-8.637206512,-5.900187411,8.565875211,17.96451067,155
197,-42.86551768,-18.57648892,0.8211759658,-2.750465832,15.58440145,2
198,-41.27184914,-14.12151605,0.1761748756,-5.04278388,17.07376555,2
